UPC,Path,Product,BrandName,ShortDesc,LongDesc,UPCInfo,Image,SalePrice
33878110786,Home Page/Food/Coffee/Coffee Bean and Tea Leaf/Coffee Bean and Tea Leaf Whole Bean Coffee,The Coffee Bean & Tea Leaf Costa Rica Medium Whole Bean Coffee 12 oz. Bag,The Coffee Bean & Tea Leaf,"Offered exclusively at The Coffee Bean & Tea Leaf, Costa Rica La Cascada Tarrazu comes from the high-altitude farms in the Tarrazu region of Costa Rica. There, we work with a group of multi-generation farming families who allocate 100% of their crop to our buyers. At an average altitude of 4500 feet above sea level, the cool temperatures and rich soils produce some of the best coffee beans in the world. About Our Coffee At The Coffee Bean & Tea Leaf®, the art of crafting the best tasting coffee requires respecting each individual roast. Knowing the specific origin and roast degree for each coffee allows for intense flavor that can be traced back to its earliest beginnings. Many coffee companies claim to search the world for the finest coffees, yet very few do. Our Coffee Master, Jay Isais, goes to the source of our coffee to guarantee it is the highest quality obtainable on earth. The partners who prepare our coffee at every level are extremely passionate people committed to providing ?Simply the Best? coffee to our customers. Quality has always been our No. 1 priority, and it will never be compromised.","Medium roast coffee, hand-picked in the high-altitude Tarrazu region of Costa RicaFragrant aroma, bright, crisp flavor with a clean finish12-oz. whole bean coffee, vacuum-packed and freshness datedMedium grind coffee is ideal for most drip-type coffee makers and percolators.","Offered exclusively at The Coffee Bean & Tea Leaf, Costa Rica La Cascada Tarrazu comes from the high-altitude farms in the Tarrazu region of Costa Rica. There, we work with a group of multi-generation farming families who allocate 100% of their crop to our buyers. At an average altitude of 4500 feet above sea level, the cool temperatures and rich soils produce some of the best coffee beans in the world. About Our Coffee At The Coffee Bean & Tea Leaf®, the art of crafting the best tasting coffee requires respecting each individual roast. Knowing the specific origin and roast degree for each coffee allows for intense flavor that can be traced back to its earliest beginnings. Many coffee companies claim to search the world for the finest coffees, yet very few do. Our Coffee Master, Jay Isais, goes to the source of our coffee to guarantee it is the highest quality obtainable on earth. The partners who prepare our coffee at every level are extremely passionate people committed to providing ?Simply the Best? coffee to our customers. Quality has always been our No. 1 priority, and it will never be compromised. Medium roast coffee, hand-picked in the high-altitude Tarrazu region of Costa RicaFragrant aroma, bright, crisp flavor with a clean finish12-oz. whole bean coffee, vacuum-packed and freshness datedMedium grind coffee is ideal for most drip-type coffee makers and percolators.",https://i5.walmartimages.com/asr/8b3c4631-7978-4f64-bd32-964661e1c897_1.eab7718b891823de0f6afac55bb4ce05.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,6.48
99555068825,Home Page/Food/Coffee/Coffee Bean and Tea Leaf/Coffee Bean and Tea Leaf Coffee Pods,"The Coffee Bean & Tea Leaf Viennese Blend Coffee K-Cups, 22/Box -GMT6882",The Coffee Bean & Tea Leaf?,"The Coffee Bean & Tea Leaf Viennese Blend Coffee K-Cups, 22/Box -GMT6882","Take part in a tasty tradition with this deep brown, medium roast to start your day. Coffee flavor is mellow, smooth and delicately nuanced with hints of chocolate. Viennese coffee employs a unique Vienna-style of roasting that dates back to 1683 when the countrys first coffee house opened. Convenient K-Cups are designed for the Keurig brewing system. Beverage Type: Coffee; Flavor: Viennese Blend; Packing Type: K-Cup; For Use With: Keurig Brewing System.","The Coffee Bean & Tea Leaf Viennese Blend Coffee K-Cups, 22/Box -GMT6882 Take part in a tasty tradition with this deep brown, medium roast to start your day. Coffee flavor is mellow, smooth and delicately nuanced with hints of chocolate. Viennese coffee employs a unique Vienna-style of roasting that dates back to 1683 when the countrys first coffee house opened. Convenient K-Cups are designed for the Keurig brewing system. Beverage Type: Coffee; Flavor: Viennese Blend; Packing Type: K-Cup; For Use With: Keurig Brewing System.",https://i5.walmartimages.com/asr/26df0f10-76e7-4881-81a7-3ec278f49593_1.88d7ad7bd7b85fe052e6796975195c72.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,15.42
798527260921,Home Page/Food/Coffee/Coffee Bean and Tea Leaf/Coffee Bean and Tea Leaf Coffee Pods,"The Coffee Bean & Tea Leaf Coffee Beverage Capsules, Costa Rica Brew, 16-Count",The Coffee Bean & Tea Leaf,"Medium-bodied with a bright, crisp flavor and fragrant aroma.","The Coffee Bean & Tea Leaf Coffee Beverage Capsules, Costa Rica Brew, 16-Count","Medium-bodied with a bright, crisp flavor and fragrant aroma. The Coffee Bean & Tea Leaf Coffee Beverage Capsules, Costa Rica Brew, 16-Count",https://i5.walmartimages.com/asr/18898567-d352-4e52-8b43-34ef5847fd6e.aac468b3bae494096330a4d0dfca11a7.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,25.87
33878112322,Home Page/Food/Coffee/Coffee Bean and Tea Leaf/Coffee Bean and Tea Leaf Whole Bean Coffee,The Coffee Bean & Tea Leaf Peru Organic Light Roast Whole Bean Coffee 12 oz. Bag,The Coffee Bean & Tea Leaf,"In mountainous northern Peru near the Pacific coast, smallholder family farms dot the foothills. There, our growers work in cooperation with Promotora de la Agricultura Sustentable S.A. to foster a more sustainable agro-economic community that supports the social welfare and growth of the local coffee sector. Beans for our Peru Organic are grown under shade, pulped and fermented using the traditional washed method, then sun-dried. The result is a balanced cup you'll love at any time of day. About Our Coffee At The Coffee Bean & Tea Leaf®, the art of crafting the best tasting coffee requires respecting each individual roast. Knowing the specific origin and roast degree for each coffee allows for intense flavor that can be traced back to its earliest beginnings. Many coffee companies claim to search the world for the finest coffees, yet very few do. Our Coffee Master, Jay Isais, goes to the source of our coffee to guarantee it is the highest quality obtainable on earth. The partners who prepare our coffee at every level are extremely passionate people committed to providing ?Simply the Best? coffee to our customers. Quality has always been our No. 1 priority, and it will never be compromised.","Light roast coffee, hand-picked in northern Peru; Certified Organic by OCIA (Organic Crop Improvement Association) and USDAFloral aroma, almond flavor with a crisp apple finish12-oz. whole bean coffee, vacuum-packed and freshness datedGrind whole bean coffee to your preference for percolator, French Press, drip, pour-over, espresso or Turkish brewing.","In mountainous northern Peru near the Pacific coast, smallholder family farms dot the foothills. There, our growers work in cooperation with Promotora de la Agricultura Sustentable S.A. to foster a more sustainable agro-economic community that supports the social welfare and growth of the local coffee sector. Beans for our Peru Organic are grown under shade, pulped and fermented using the traditional washed method, then sun-dried. The result is a balanced cup you'll love at any time of day. About Our Coffee At The Coffee Bean & Tea Leaf®, the art of crafting the best tasting coffee requires respecting each individual roast. Knowing the specific origin and roast degree for each coffee allows for intense flavor that can be traced back to its earliest beginnings. Many coffee companies claim to search the world for the finest coffees, yet very few do. Our Coffee Master, Jay Isais, goes to the source of our coffee to guarantee it is the highest quality obtainable on earth. The partners who prepare our coffee at every level are extremely passionate people committed to providing ?Simply the Best? coffee to our customers. Quality has always been our No. 1 priority, and it will never be compromised. Light roast coffee, hand-picked in northern Peru; Certified Organic by OCIA (Organic Crop Improvement Association) and USDAFloral aroma, almond flavor with a crisp apple finish12-oz. whole bean coffee, vacuum-packed and freshness datedGrind whole bean coffee to your preference for percolator, French Press, drip, pour-over, espresso or Turkish brewing.",https://i5.walmartimages.com/asr/1e29e43b-5d5f-4124-9326-ee6c5ca22aa6_1.6337aa93e96d7a482ab2c1615058db50.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,9.99
782672566137,Home Page/Food/Coffee/Coffee Bean and Tea Leaf/Coffee Bean and Tea Leaf Whole Bean Coffee,"CBTL French Brew Coffee Capsules By The Coffee Bean & Tea Leaf, 10 Count Box",coffee bean & tea leaf's,"CBTL French Brew Coffee Capsules By The Coffee Bean & Tea Leaf, 10 Count Box","CBTL French Brew Coffee Capsules By The Coffee Bean & Tea Leaf, 10 Count BoxBrand : coffee bean & tea leafManufacturer : Coffee Bean & Tea LeafSize : 1,3 Deep-roasted flavor with smoky aroma and chocolaty finish Created by The Coffee Bean & Tea Leaf 10 capsules per box100% Arabica coffee. Our darkest roast coffee capsules. Deep-roasted flavor with a smoky aroma and a chocolaty finish. Each capsule is freshness-seale","CBTL French Brew Coffee Capsules By The Coffee Bean & Tea Leaf, 10 Count Box CBTL French Brew Coffee Capsules By The Coffee Bean & Tea Leaf, 10 Count BoxBrand : coffee bean & tea leafManufacturer : Coffee Bean & Tea LeafSize : 1,3 Deep-roasted flavor with smoky aroma and chocolaty finish Created by The Coffee Bean & Tea Leaf 10 capsules per box100% Arabica coffee. Our darkest roast coffee capsules. Deep-roasted flavor with a smoky aroma and a chocolaty finish. Each capsule is freshness-seale",https://i5.walmartimages.com/asr/bed568b9-3e95-4f22-82b0-3df20e7869a4.2d58c0fb8d96efe1922b55fc203baf38.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,22.75
50000045952,Home Page/Food/Coffee/Coffee Creamers/All Creamers,Coffee Mate Non-Dairy Powder Coffee Creamer Chocolate Cr&acuteme 15 Oz.,Coffeemate,"Transform the coffee you like into the coffee you love with Coffee mate Chocolate Crème coffee creamer. Add the taste of satisfying chocolate crème to your cup for a taste that's lactose-free and gluten-free. With Coffee mate non-dairy coffee creamer, you can create your perfect cup of velvety goodness by adding the right amount of flavor you want every time?morning, noon, or night. Check out the variety of delicious flavors Coffee mate has to offer.","Coffee mate Chocolate Crème Powdered Creamer has deliciously decadent notes of chocolate, and at 10.2 ounces, it's coffee?s perfect mate Tantalize your taste buds with the smooth, rich taste of satisfying chocolate creamer that?s non-dairy, lactose-free, and gluten-free Whether you?re sharing with a friend or taking a moment to recharge, Coffee mate Chocolate Crème is the perfect way to wake up your cup Scoop and stir to find the right amount of flavor to suit your taste and transform your coffee into flavorful deliciousness Think outside of the cup and add the delicious flavors of Coffee mate creamers to recipes to create unique deliciousness that everyone will love","Transform the coffee you like into the coffee you love with Coffee mate Chocolate Crème coffee creamer. Add the taste of satisfying chocolate crème to your cup for a taste that's lactose-free and gluten-free. With Coffee mate non-dairy coffee creamer, you can create your perfect cup of velvety goodness by adding the right amount of flavor you want every time?morning, noon, or night. Check out the variety of delicious flavors Coffee mate has to offer. Coffee mate Chocolate Crème Powdered Creamer has deliciously decadent notes of chocolate, and at 10.2 ounces, it's coffee?s perfect mate Tantalize your taste buds with the smooth, rich taste of satisfying chocolate creamer that?s non-dairy, lactose-free, and gluten-free Whether you?re sharing with a friend or taking a moment to recharge, Coffee mate Chocolate Crème is the perfect way to wake up your cup Scoop and stir to find the right amount of flavor to suit your taste and transform your coffee into flavorful deliciousness Think outside of the cup and add the delicious flavors of Coffee mate creamers to recipes to create unique deliciousness that everyone will love",https://i5.walmartimages.com/asr/15786b98-2f8a-47e2-ab64-e1afd0877fdc_1.9a011983cd124756a091a4c68c004abd.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,3.48
50000303021,Home Page/Food/Coffee/Coffee Creamers/All Creamers,COFFEE MATE The Original Powder Coffee Creamer 35.3 Oz. Canister Non-dairy Lactose Free Gluten Free Creamer,Coffeemate,"Transform the coffee you like into the coffee you love with Coffee mate The Original coffee creamer. It's rich and smooth with a classic taste that is lactose-free, cholesterol-free, and gluten-free. With Coffee mate non-dairy coffee creamer, you can create your perfect cup of velvety goodness by adding the right amount of flavor you want every time?morning, noon, or night. Check out the variety of delicious flavors Coffee mate has to offer.","Coffee mate The Original Powdered Creamer delivers a rich taste that takes your coffee beyond good, and at 35.3 ounces, it's coffee?s perfect mate Stir in the rich, indulgent taste anytime for a classic cup that?s non-dairy, lactose-free, cholesterol-free, and gluten-free Whether you?re sharing with a friend or taking a moment to recharge, Coffee mate The Original is the perfect way to wake up your cup Scoop and stir to find the right amount of flavor to suit your taste and transform your coffee into flavorful deliciousness Think outside of the cup and add the delicious flavors of Coffee mate creamers to recipes to create unique deliciousness that everyone will love","Transform the coffee you like into the coffee you love with Coffee mate The Original coffee creamer. It's rich and smooth with a classic taste that is lactose-free, cholesterol-free, and gluten-free. With Coffee mate non-dairy coffee creamer, you can create your perfect cup of velvety goodness by adding the right amount of flavor you want every time?morning, noon, or night. Check out the variety of delicious flavors Coffee mate has to offer. Coffee mate The Original Powdered Creamer delivers a rich taste that takes your coffee beyond good, and at 35.3 ounces, it's coffee?s perfect mate Stir in the rich, indulgent taste anytime for a classic cup that?s non-dairy, lactose-free, cholesterol-free, and gluten-free Whether you?re sharing with a friend or taking a moment to recharge, Coffee mate The Original is the perfect way to wake up your cup Scoop and stir to find the right amount of flavor to suit your taste and transform your coffee into flavorful deliciousness Think outside of the cup and add the delicious flavors of Coffee mate creamers to recipes to create unique deliciousness that everyone will love",https://i5.walmartimages.com/asr/508a9d2a-25ed-42c3-a989-e512898e514d_1.b519329367c8d4c7236a0b891a211d1a.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,4.72
41271024890,Home Page/Food/Coffee/Coffee Creamers/All Creamers,"International Delight, Amaretto Coffee Creamer, 32 Oz.",International Delight,International Delight Amaretto Non-Dairy Coffee Creamer 32oz. has a sweet and creamy swirl of delicate almond flavor inspired by Italian Amaretto.,International Delight Amaretto Coffee Creamer:Non-DairyGluten freeLactose free,International Delight Amaretto Non-Dairy Coffee Creamer 32oz. has a sweet and creamy swirl of delicate almond flavor inspired by Italian Amaretto. International Delight Amaretto Coffee Creamer:Non-DairyGluten freeLactose free,https://i5.walmartimages.com/asr/71725a26-5777-4f2d-9716-ef72aba2854d_1.1e9a79b887078aaced2eb8a782e56018.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,
78742433677,Home Page/Food/Coffee/Coffee Creamers/All Creamers,"Great Value Original Powder Coffee Creamer, 35.3 oz Canister",Great Value,"Great Value Coffee Creamer is deliciously creamy, with an original classic taste that's sure to enhance your morning coffee. This creamer delivers a velvety smooth taste in every sip. Just one teaspoon of this luscious creamer is all you need to bring your coffee, hot tea or hot coca to life. It is sugar-free, non-dairy and kosher friendly for your convenience. It comes with over two pounds so you can stock up on your favorite creamer. Bring your morning cup of joe to life with the luscious taste of Great Value Original Coffee Creamer.Great Value products provide families with affordable, high quality grocery and household consumable options. With our wide range of product categories spanning grocery and household consumables, we offer you a variety of products for your family's needs. Our products are conveniently available online and in Walmart stores nationwide, allowing you to stock up and save money at the same time.","Great Value Coffee Creamer, Original:Non-dairy creamerKosherSugar-freeNet weight 35.3 oz","Great Value Coffee Creamer is deliciously creamy, with an original classic taste that's sure to enhance your morning coffee. This creamer delivers a velvety smooth taste in every sip. Just one teaspoon of this luscious creamer is all you need to bring your coffee, hot tea or hot coca to life. It is sugar-free, non-dairy and kosher friendly for your convenience. It comes with over two pounds so you can stock up on your favorite creamer. Bring your morning cup of joe to life with the luscious taste of Great Value Original Coffee Creamer.Great Value products provide families with affordable, high quality grocery and household consumable options. With our wide range of product categories spanning grocery and household consumables, we offer you a variety of products for your family's needs. Our products are conveniently available online and in Walmart stores nationwide, allowing you to stock up and save money at the same time. Great Value Coffee Creamer, Original:Non-dairy creamerKosherSugar-freeNet weight 35.3 oz",https://i5.walmartimages.com/asr/7bf72523-9fa5-4f39-aa2b-dc3e01f0ee33_1.c70e909e7a6e63444bd2a9ef446ada6d.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,3.14
,Home Page/Food/Coffee/Coffee Creamers/All Creamers,"Kara Uht Natural Coconut Cream, 6.80 fl oz",Kara,"The Kara Uht Coconut Cream, 6.80 fl oz, has a smooth, creamy texture and is a versatile cooking ingredient. It may be used in Thai dishes, curries, frozen drinks or as a replacement for other dairy products. This pure coconut cream is an all-natural product that's also kosher.","No Cholesterol, No Trans Fat, No Preservatives, No Flavouring, No Colourings.Kosher.","The Kara Uht Coconut Cream, 6.80 fl oz, has a smooth, creamy texture and is a versatile cooking ingredient. It may be used in Thai dishes, curries, frozen drinks or as a replacement for other dairy products. This pure coconut cream is an all-natural product that's also kosher. No Cholesterol, No Trans Fat, No Preservatives, No Flavouring, No Colourings.Kosher.",https://i5.walmartimages.com/asr/a14c7095-983a-4bf2-98a1-b52a4c34dbf9_1.61e0cef6c9987a496cb44e45fe4a0891.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,1.48
